citi,day1,day2,day3,day4,hotels,name,price,types,url
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Kathmandu: A romantic trip begins , Kathmandu: Local sightseeing , Nagarkot: Arrival and a sightseeing tour , Nagarkot: The tour culminates ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Romantic Nepal Honeymoon Package,"₹16,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Nepal: Kathmandu welcomes you! , Nepal: Discover the hindu culture , Experience The Natural Beauty , Departure  ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Discover The Ancient Nepal Tour,"₹11,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Arrival &amp; sunset aarti at Pashupatinath temple , Kathmandu local valley sightseeing , Nagarkot &amp; Bhaktapur durbar square , Departure ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Historic Nepal Tour Package,"₹17,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Arrival &amp; leisure , Nepal sightseeing , Nagarkot and Bhaktapur , Departure ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Picturesque Nepal Tour Package,"₹17,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
POKHARA (2D)kathmandu (2D), Pokhara: Arrival and sightseeing , Pokhara: Sightseeing tour , Kathmandu: Temple Tour and Leisure Day , Kathmandu: Departure ,The shanker hotelThe shanker hotelHotel landmark pokhara,Fabulous Pokhara Tour Package,"₹20,199/-",4 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
POKHARA (2D)Changunarayan (1D)kathmandu (1D)Bhairahawa (2D), Pokhara: Arrival , Pokhara: Sightseeing , Nagarkot: Arrival , Kathmandu: Arrival ,Hotel nirvanaHotel nirvanaPokhara choice inn,Discounted Nepal Tour Package,"₹21,500/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (3D)POKHARA (2D)Sauraha (2D), Nepal: Arrival  ," Nepal: Patan, Lalitpur, Sightseeing ",  Sarangkot Village tour , Chitwan  ,Hotel wildlife campHotel wildlife campPokhara choice inn,Amazing Nepal Tour Package,"₹24,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Nepal: Welcome to Kathmandu! , Nepal: Explore the wonders of Nepal , Nepal: Drive to Nagarkot , Nepal: Departure ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Enchanting Nepal Tour,"₹10,700/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (3D)POKHARA (2D), Nepal: Welcome to the capital city! , Nepal: Visit to the Pokhara Town , Nepal: Excursion to Sarangkot , Nepal: Leisure day at Kathmandu ,Pokhara choice innPokhara choice innAryatara kathmandu hotel,Explore The Best Of Nepal Tour,"₹19,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
Changunarayan (1D)POKHARA (2D)kathmandu (5D), Nagarkot: Arrival and Leisure Day  , Pokhara: Arrival and Leisure Day , Pokhara: Local Sightseeing , Kathmandu: Manakamana Temple ,Pokhara choice innPokhara choice innBojinee nagarkot resort,Nepal 8 Days Trip Package,"₹30,699/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (4D)POKHARA (2D)Sauraha (2D), Kathmandu: Arrival , Kathmandu: Explore Patan , Trip To Pokhara , Excursion trip to Sarangkot ,Hotel wildlife campHotel wildlife campPokhara choice inn,Nepal Family Tour,"₹28,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
POKHARA (2D)kathmandu (2D), Pokhara: Arrival , Pokhara: Sightseeing Tour , Surrendering to the divine aura of Pashupatinath Temple , Kathmandu: The day of Departure ,Pokhara choice innPokhara choice innAryatara kathmandu hotel,Enchanting Pokhara Honeymoon Package,"₹21,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Arrival at Kathmandu , Kathmandu | City tour , Ride to Nagarkot , Departure ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Revitalising Nepal Tour Package,"₹15,199/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Arrival in Nepal , Sightseeing in Nepal , Hiking day in Nagarkot , Last day of the tour ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Stupendous Nepal Honeymoon Package,"₹16,200/-",3 Stars,https://traveltriangle.com/packages/3nights-4days-nepal-honeymoon?id=5132&travelmonth=8
kathmandu (3D)POKHARA (2D)," Reach Kathmandu, the trip starts with leisure ", Journey to Pokhara , Visit Sarangkot , Retreat to Kathmandu ,Pokhara choice innPokhara choice innAryatara kathmandu hotel,5 Days Tour Package To Nepal With Airfare,"₹32,700/-",Upto 3 Stars,https://traveltriangle.com/packages/nepal-3-days-trip?id=18261&travelmonth=8
Changunarayan (1D)POKHARA (2D)kathmandu (5D), Nagarkot: Arrival and Leisure Day , Pokhara: Arrival and Leisure Day , Pokhara: Sightseeing , Kathmandu: Arrival and Enroute Visit Manakamana Temple ,Pokhara choice innPokhara choice innBojinee nagarkot resort,Nepal Family Package For 7 Nights 8 Days,"₹26,699/-",Upto 3 Stars,https://traveltriangle.com/packages/nepal-3-days-trip?id=18261&travelmonth=8
kathmandu (2D)Changunarayan (1D)NAGARKOT (1D), Kathmandu: Welcome to Nepal , Kathmandu: Full day sightseeing tour , Nagarkot: The historical hill-station , Nagarkot: Time to leave ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Awe-inspiring Nepal Summer Special Honeymoon Package,"₹16,200/-",3 Stars,https://traveltriangle.com/packages/nepal-3-days-trip?id=18261&travelmonth=8
kathmandu (3D)Changunarayan (1D), Kathmandu: Arrival at Airport , Visit Pashupatinath temple along with touring the nearby cities , Have a day out at Nagarkot , Get back to your home ,Bojinee nagarkot resortBojinee nagarkot resortAryatara kathmandu hotel,Kathmandu Tour Package For 3 Nights 4 Days,"₹16,699/-",Upto 3 Stars,https://traveltriangle.com/packages/nepal-3-days-trip?id=18261&travelmonth=8
Sauraha (1D)Janakpur (2D)kathmandu (2D)POKHARA (2D)Jomsom (1D)Bhairahawa (2D), Arrival at Gorakhpur Airport , Chitwan: Sightseeing in Chitwan , Janakpur: Local sightseeing , Kathmandu: Explore local Kathmandu ,Hotel wildlife campHotel wildlife campHotel nirvana,An Enjoyable Nepal Family Trip,"₹53,200/-",3 Stars,https://traveltriangle.com/packages/nepal-3-days-trip?id=18261&travelmonth=8
